probability_pct,bin_left_pct,bin_right_pct,n_local,n_true_pneumoniae,n_true_mitis_oralis,real_prob_pneumoniae_pct,real_prob_mitis_oralis_pct
2.5,0.0,5.0,90,2,88,2.2222222222222223,97.77777777777777
7.5,5.0,10.0,251,2,249,0.796812749003984,99.20318725099602
12.5,10.0,15.0,250,6,244,2.4,97.6
17.5,15.0,20.0,232,14,218,6.0344827586206895,93.96551724137932
22.5,20.0,25.0,149,23,126,15.436241610738255,84.56375838926175
27.5,25.0,30.0,121,17,104,14.049586776859504,85.9504132231405
32.5,30.0,35.0,101,18,83,17.82178217821782,82.17821782178217
37.5,35.0,40.0,70,16,54,22.857142857142858,77.14285714285715
42.5,40.0,45.0,59,11,48,18.64406779661017,81.35593220338984
47.5,45.0,50.0,40,8,32,20.0,80.0
52.5,50.0,55.0,23,4,19,17.391304347826086,82.6086956521739
57.5,55.0,60.0,19,15,4,78.94736842105263,21.052631578947366
62.5,60.0,65.0,30,26,4,86.66666666666667,13.333333333333334
67.5,65.0,70.0,41,34,7,82.92682926829268,17.073170731707318
72.5,70.0,75.0,57,55,2,96.49122807017544,3.508771929824561
77.5,75.0,80.0,111,111,0,100.0,0.0
82.5,80.0,85.0,197,196,1,99.49238578680203,0.5076142131979695
87.5,85.0,90.0,332,329,3,99.09638554216868,0.9036144578313252
92.5,90.0,95.0,543,536,7,98.71086556169429,1.289134438305709
97.5,95.0,100.0,566,565,1,99.82332155477032,0.17667844522968199
